signal_id,symbol,setup_name,entry_ts,exit_ts,entry_price,stop_price,r_multiple,rank_score,skip_reason,open_slots,open_exposure_usd,open_risk_usd,entry_notional_usd,risk_to_stop_usd
XME_TwoDayBreakout_D1_149,XME,TwoDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,112.36,103.04,0.8702,0.3496,no_slot,3,745.255,13.2,112.36,9.32
EEM_TwoDayBreakout_D1_149,EEM,TwoDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,57.185,54.675,0.2948,0.339655,no_slot,3,745.255,13.2,57.185,2.51
IEMG_TwoDayBreakout_D1_149,IEMG,TwoDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,70.08,67.22,0.3024,0.331635,no_slot,3,745.255,13.2,70.08,2.86
SMH_PrevDayBreakout_D1_149,SMH,PrevDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,382.395,368.835,0.6007,0.3139,no_slot,3,745.255,13.2,382.395,13.56
KRE_PrevDayBreakout_D1_149,KRE,PrevDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,66.43,64.06,0.1013,0.157495,no_slot,3,745.255,13.2,66.43,2.37
SMH_TwoDayBreakout_D1_149,SMH,TwoDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,382.395,360.1,0.3653,0.076335,no_slot,3,745.255,13.2,382.395,22.295
XLI_TwoDayBreakout_D1_149,XLI,TwoDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,159.495,154.98,0.814,-0.119785,no_slot,3,745.255,13.2,159.495,4.515
IWM_PrevDayBreakout_D1_149,IWM,PrevDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,252.305,245.865,1.4278,-0.19316,no_slot,3,745.255,13.2,252.305,6.44
XAR_TwoDayBreakout_D1_149,XAR,TwoDayBreakout_D1,2026-01-06 05:00:00+00:00,2026-01-12 05:00:00+00:00,260.815,240.75,1.0135,-0.196415,no_slot,3,745.255,13.2,260.815,20.065
IEMG_PrevDayBreakout_D1_150,IEMG,PrevDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-13 05:00:00+00:00,69.93,69.125,0.6646,0.512275,no_slot,3,745.255,13.2,69.93,0.805
EEM_PrevDayBreakout_D1_150,EEM,PrevDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-13 05:00:00+00:00,57.04,56.36,0.6912,0.497545,no_slot,3,745.255,13.2,57.04,0.68
XME_PrevDayBreakout_D1_150,XME,PrevDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-12 05:00:00+00:00,112.985,109.4,2.0,0.41173,no_slot,3,745.255,13.2,112.985,3.585
XME_TwoDayBreakout_D1_150,XME,TwoDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-13 05:00:00+00:00,112.985,104.77,0.8198,0.3496,no_slot,3,745.255,13.2,112.985,8.215
EEM_TwoDayBreakout_D1_150,EEM,TwoDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-13 05:00:00+00:00,57.04,55.825,0.3868,0.339655,no_slot,3,745.255,13.2,57.04,1.215
IEMG_TwoDayBreakout_D1_150,IEMG,TwoDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-13 05:00:00+00:00,69.93,68.535,0.3835,0.331635,no_slot,3,745.255,13.2,69.93,1.395
SMH_PrevDayBreakout_D1_150,SMH,PrevDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-08 05:00:00+00:00,384.65,377.01,-1.0,0.3139,no_slot,3,745.255,13.2,384.65,7.64
XLV_PrevDayBreakout_D1_150,XLV,PrevDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-13 05:00:00+00:00,158.8,152.98,-0.3591,0.25562,no_slot,3,745.255,13.2,158.8,5.82
KRE_PrevDayBreakout_D1_150,KRE,PrevDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-13 05:00:00+00:00,67.21,65.02,-0.4406,0.157495,no_slot,3,745.255,13.2,67.21,2.19
SMH_TwoDayBreakout_D1_150,SMH,TwoDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-13 05:00:00+00:00,384.65,368.835,0.4414,0.076335,no_slot,3,745.255,13.2,384.65,15.815
XLI_TwoDayBreakout_D1_150,XLI,TwoDayBreakout_D1,2026-01-07 05:00:00+00:00,2026-01-13 05:00:00+00:00,162.485,154.98,0.2005,-0.119785,no_slot,3,745.255,13.2,162.485,7.505
